,Unnamed: 0,message,label
95,95,한스사마 캄보디아계 프랑스인,1
96,96,gg,1
97,97,1~2년 해보고 cl은 아니다 싶으면 동부팀으로 가겠지,1
98,98,"세나 왜 cs 안먹는거야 다이아가 해도 저거보단 더 많이 먹겠노,,,,,...구마유시는 세나하지말고 징크스만하면 안되????세나 할줄모르네 진짜 개답답해서 못보겠어.세나해야 되는판이면 래클래스가하게하자 구마는 세나너무못하는거같아 티원팬이여도 이거는못바줄거같아",0
99,99,진짜 광동이 이기길바랬는데 그냥 때리치아라,1
100,100,착취아지르는 뭐임? 뉴메타임?,1
101,101,악성댓글 각 구단에 제보하겠습니다~~,1
102,102,대 상 혁 ㅋㅋ,1
103,103,오늘도 고통받는 태윤,1
104,104,켈황,1
105,105,이렐킹이노,1
106,106,^압살^,1
107,107,아 킬안먹은 이유가 어시채울려고 그랬구만,1
108,108,ㅋㅋ,1
109,109,젠지간 이후로 캐니언 무색무취 정글러 됐네,1
110,110,씹쉬,0
111,111,ㅋㅋㅋㅋㅋㅋ,1
112,112,1557,0
113,113,톰버지,1
114,114,카르마 암만봐도 구리다,1
115,115,이쪽 다먹혔는데 ㅈㄴ 안일하네,0
116,116,카리스 궁 수준ㅋㅋㅋ,0
117,117,오오,1
118,118,ㅋㅋㅋㅋㅋㅋ,1
119,119,아 제카 ... 진짜..,1
120,120,역시라칸은 켈황,1
121,121,아 클템 찍어찍어 ㅈㄴ 기대 되누ㅋㅋㅋ,1
122,122,이걸끊어 ㄷㄷ,1
123,123,커즈 대처 개 잘했는데 쵸비 킬각 미쳤네,1
124,124,환불은 경기랑 상관없이 이미 해준다고 오피셜 뜬거고,1
125,125,이걸 비비네,1
126,126,역시 루시드 페이커의 세컨드 답다 자랑스럽다,1
127,127,아트 뭐하냐 ㅋㅋㅋ,1
128,128,88848,0
129,129,사일러스하지,1
130,130,어차피 우승은 젠지임ㅇㅇ,1
131,131,"쵸비는 딱 ""맨시티 킬러"" 롤흥민임. 맨시티가 트레블을 해도 알빠노? 리그에서 맨시티 3번연속으로 이겼다 이기 ㅋㅋㅋㅋㅋㅋ 차이점이 있다면 그래도 앰창단은 아시안게임 금메달로 국제전 유관드립치진 않는다 ㅋㅋ",0
132,132,아수빈이너무예뻐,1
133,133,왜 오른이 15렙이고 세나가 13렙임?,1
134,134,레나타 궁 실화임?,1
135,135,ㅁㅍ가 뭐임,1
136,136,정글 닉네임 싸운다 뭐냐 ㅋㅋㅋ,1
137,137,콜미는 왜 자꾸 버스템트리감? 아까도 대천사랑 모렐가더만,1
138,138,이걸 지겠냐 인간적으로,1
139,139,페이커 연속 POG 확정!!!,1
140,140,이건 디플 승,1
141,141,중국팀의 그팬들 부들거림 현장,0
142,142,미드 5벤,1
143,143,깐부전이네,1
144,144,티원은 관중들없으면 관심 못받아서 개못해짐,0
145,145,라스칼이 잘했던적이 있었던가 .. 너무 고평가된 선수임,1
146,146,담원 화이팅!!:hundred_points:,1
147,147,광동ㅋㅋㅋㅋ,1
148,148,KT 이정도 경기력이면 불안한데?ㅋㅋ,1
149,149,하지만 라인은 농심이 좋죠,1
150,150,ㅋㅋㅋㅋㅋ,1
151,151,핑 또 888까지 뜬거야?,0
152,152,화이티이이잉 ㅋㅋ,1
153,153,짜오?,1
154,154,zz,1
155,155,17분에 200개 버그아니냐,1
156,156,쵸네 ㄷㄷㄷ,1
157,157,ㅋㅋ,1
158,158,do your thing riot,1
159,159,welcome taeyoon,1
160,160,아지르는 왜 글벤임?,1
161,161,다신 안나올듯 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
162,162,대횡쮀ㅋㅋㅋ,0
163,163,88848,0
164,164,짜이찌엔지 컽!,0
165,165,와 진짜 핑퐁 너무 잘했다 광동… 쇼메빼고 다 잘했다 게임 너무 재밌다,1
166,166,팔팔이형..,0
167,167,아니 근데 탕리야 너무맛업ㄱ는제…,1
168,168,켈린 확실히 케리아랑 비교 많이 되네...,1
169,169,이제 젠지 응 원하러감,1
170,170,아오... 퍼즈로 기다린 시간이 벌써 1557은 넘겼겠네...,0
171,171,88848급인데 광동 ㄹㅇ? 처참하누 ㅠㅠㅠㅠ 울 페이커는 롤컵우승했는데 누구는 5년동안 88848이라..흠~~~페이커의 최저점이 누군가의 최고점이라 흠~~~,0
172,172,페이커 모자 쿨 돌렸네...버그 쓰는 거 봐라,1
173,173,개간지난다 비주얼,1
174,174,한달연봉 400이상만 채팅쳐라 말 ㅈ1ㄴ많네,0
175,175,순수무력 최강 쵸비.. 페이커는 이런거 못팜,1
176,176,피하지도 못하네 진짜,1
177,177,지금 하는거 레전드네 ㅋㅋㅋㅋ,1
178,178,5세트 밴픽 브금 ㅈㄴ웅장하다!,1
179,179,ㅋㅋㅋㅋㅋ DRX 유리한 픽 다 해놓고 지네........,0
180,180,광동 경기 언제함?,1
181,181,이게 왜 오너냐 페이커 드리블 몇갠데,1
182,182,무승후보 까비 진짜 브리온은 재능있었는데,1
183,183,퍼펙트의 1세트 속죄나르,1
184,184,젠지는 별2개 맞음 ㅋㅋ,1
185,185,으..,1
186,186,상대원딜을 믿어라,1
187,187,아니 4용인데 그걸 그냥 주나,1
188,188,물감옥 아군이 맞으면 이속 버프임,1
189,189,앵그리 티원~~,1
190,190,녹화 방송이라고 병toss들,0
191,191,4성,1
192,192,든버지 ㄷㄷ,1
193,193,설마 대항마?,1
194,194,왔냐?,1
195,195,에이밍보단 킹겐이 잘하지 않았나,1
196,196,다들 모르는게 아닐깤ㅋㅋㅋㅋㅋㅋ,1
197,197,탑차이,1
198,198,ㅈㅈ,1
199,199,이거 녹방인데 광동 대떡남 ㅋㅋ,1
200,200,대 정 훈,1
201,201,역시 스로잉 엄로저,0
202,202,줄건 다줘 !!! 4용 꺼억,1
203,203,럼자오자레 ㅋㅋㅋ,1
204,204,역시 우리팀,1
205,205,아 테디 1데스면 패배지 ㅋㅋㅋㅋㅋㅋ,1
206,206,제린 하지마,1
207,207,아밀레이스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
208,208,ㅁㄷㅊㅇ,1
209,209,뭫9 깎어,1
210,210,3000,1
211,211,한화 2대1 승입니다 그만하세요,1
212,212,DRX는 요즘 잘하나용?,1
213,213,와 12년도부터 롤봤으면 지금30살넘었는데 롤보고있는거임? ㄷㄷ 일않함?,1
214,214,대 상 혁,1
215,215,장로 프리딜,1
216,216,커-즈 ,1
217,217,경기 언제 다시 재개할라나 ,1
218,218,쇼메이커 진짜 힘내자 화이팅,1
219,219,gg를 누가 쳤다고 자꾸 gg거리는거임?,1
220,220,진짜 골따기 아니다 골따기도아깝네 걍 브론즈 탑베인 보는거같음 스펠 쓰는거보면 ㄷㄷ,0
221,221,서폿은 왜 몸이큰가요?,1
222,222,또던져 ? ㅋㅋㅋㅋ,1
223,223,lpl의 마지맥 희망이었노,1
224,224,쵸비는 진짜 ㅋㅋㅋㅋㅋㅋ,1
225,225,굿,1
226,226,역시 데프트ㅋㅋㅋㅋㅋ,1
227,227,ㅈㄴ살벌하네 비주얼,1
228,228,오오?,1
229,229,식물인간 드립 개웃기네 ㅋㅋㅋ,1
230,230,손떨리는거 멋지고 귀엽다 KT 화이팅!,1
231,231,딜량 보소,1
232,232,1557,0
233,233,한화체급생명 ㅋㅋㅋ,1
234,234,광동이 젠지 잡겠다 이번주,1
235,235,슈발ㅋㅋㅋㅋ,1
236,236,시야점수 멋지다,1
237,237,클로저 부활 ㄷㄷㄷㄷㄷㄷ,1
238,238,오늘 실버들 솔랭 조심해라 내가간다,1
239,239,괜찮아 어차피 또 8강딱 할건데 ㅋㅋ한잔해~,0
240,240,와.......,1
241,241,88848,0
242,242,drx 대충 질것이지 경기 재미도없고 관심도없고 빨리 씨맥 쳐발리는거 봐야되는데,0
243,243,ㅈㅈ,1
244,244,아무리 전캐를 팩트로 비판해도 성역화하는 감성충들은 받아들이질 못함 ㅋㅋ,0
245,245,이것기 운영인가 ㄷㄷ,1
246,246,광동은 제자리로 돌아가는중~,1
247,247,엄,1
248,248,제발 골딱이들 훈수좀 하지마라 챌한테 훈수를 하고있노 ㅋㅋ,0
249,249,케리아 뭐하노,1
250,250,개잘하네 진짜,1
251,251,ㅁㅍ,1
252,252,엔비 lpl 갔다가 칼복귀했네 ㅋㅋㅋ,1
253,253,3라인 다 당했다…,1
254,254,88848,0
255,255,MSI에서 한판 1557로 지기 vs 롤드컵 8강에서 럼자오자레 주고 8강딱하기,0
256,256,좀 무섭긴한 팬이 아니고 무슨 종교수준같음,1
257,257,1557-88848,0
258,258,대 황 식,1
259,259,88848,0
260,260,유미는 별로임??,1
261,261,광동도 하냐,1
262,262,ㄹㅇ 이건 서로 기인이고 쵸비기때문에 가능한 스왑이 아닐까 ㅋㅋ,1
263,263,축구 vs 광동,1
264,264,"""이겨""",1
265,265,그팬들 pog 쵸비 줄까봐 ㅂㄷㅂㄷ 거리누,0
266,266,오늘은 아터지게찌?,1
267,267,2대1,1
268,268,와 벽플 잘쓰는거봐 피지컬 루시드,1
269,269,표식이 진짜 성장했다,1
270,270,아 애쉬는 좀 안닌데,1
271,271,준위 없다 에너지 준위냐?,1
272,272,1557,0
273,273,왜이기는지 아직도모르노 ㅋㅋㅋㅋ?,1
274,274,기드온 어디감?,1
275,275,티원이 루나미 한담부터 못하누 ㅋㅋㅋ,1
276,276,프로에 f가 어딨음?,1
277,277,아니 방구석 롤전문가들이 이렇게 많은데,1
278,278,씨맥 출장정지,1
279,279,아래가 더 치명상,1
