,message
955862,MSI 젠지 겁나 기대댐
769717,갈드컴도 mz하네 졌으면 방좀빼라 지킬건지켜라~
36197,젠지경기에 왜 메갈리아 페미니스트 좋아요 누른 팀 지지자들이 갈드컵 열고있나요?(진짜 모름)
759818,근데 진짜 안딜 왜 못나온거냐
243949,결승에서 디도스 걸리면어캄ㅋㅋ
598334,이거 오늘 2번째 매치죠?
541795,아 ㅈㄴ재미없다진짜
449538,역대급 저점 터진건가
727442,후두려 맞네
649744,우틀않ㅋㅋㅋㅋㅋㅋㅋ쳐맞자
434414,애디의 명륜진사갈비턴도 못하는 LCK 수준 봐서 뭐하냐. 순수실력은 애디가 최곤데... 롤판 망했다 애디도 알아보지 못하는 리그...
954206,쇼메도 개못하는데 뭔 원맨팀임ㅋㅋ
66135,태윤이 그동안 그렇게 못함?? 어느정도로??
707176,88848 = 5년 = 병
240544,t1화이팅
680397,제우스>기인>도란>제우스 돌고 도는거 개웃기네ㅋㅋㅋㅋㅋ
297035,찌러찔러
294259,엄 앵 란
589032,아직도 해결 못한거 레전드 ㅋㅋ 얼마나 무능한거냐 ㅋㅋ 서비스업 일처리 진짜 드럽게 못하네 ㅋ.
705089,롤의 R도 모르면 젠지 칭찬하지마라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
604642,채팅진짜 저급하당
287327,카메라 갑자기 돌아갔네 ㅋㅋㅋ
234244,프로맞냐
271417,응 무관따리 ㅋ
207056,ㅋㅋㅋㅋ꺼000억
488246,브리온은 그냥 뷰어쉽 n빵이나 받아가자 마인드인가
480140,그냥 킹겐은 거품에 거품에 거품임
330952,티원 다 이겨놓고 상체 트롤짓해서 개같이 멸망 ㅋㅋㅋㅋㅋㅋ
950924,여긴 ㅇㅅㅇ 치는 사람이 없어서 좋네 
528341,얼굴망가질까봐 휘파발도 자제하는 프로의 모습이다
915588,젠지 중국이나 가버려
154333,저거 기획한놈은 짤라라
423716,어떤것땜에 퍼즈걸린거에요?
333226,뚜루뚜 빠라빠라 ㅋㅋㅋㅋ
316759,궁을 이제 쓰네 ㅋㅋㅋㅋㅋ
64722,개딴딴
485311,모래주머니 훈련을 위해 1년간 태윤을 출전시킨 씨맥의 선견지명 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
598446,진짜 롤하는애들은 지능이낮은게 보임. 광동 취소면 어떠한 공지도없이 취소하겠냐. 제발 뇌가있으면 사용좀 부탁드림
975475,팔팔팔사팧
50811,갑자기 생각나는게 켈황 진짜 ㅆㄱㅈㄴ
256884,초반 유리한거 계속 이어가자 티원
214243,이딴게 스포츠 ㅋㅋㅋㅋ
980545,71인분 아담 따라하노 ㅋㅋ
880244,그래그래 그건 놀랍지도 않지만 사실이야 lck는 결국 젠티전이야
210806,티원팬인데 솔직히 후아유맨이 더 기대된다
668542,E도 못찾추고 라스칼 쳐 던지네
715859,클로저 보다 못하는 미드가 서부팀에 있다고?
412638,채팅 진짜 가관이구나 ㅋㅋㅋㅋㅋㅋㅋㅋ
104308,골드차봐라 ㅋㅋㅋ 엄대엄
784413,쵸비는 지금 lck 1황미드가 맞어 무력인정해야대
653511,헤이똥싸 ㅋㅋㅋㅋㅋㅋ
220284,젠지 화이팅!! LCK 최고의 팀 :thumbs_up: :thumbs_up: :thumbs_up:
800581,제카 아무도 안봐주네 하루종일 찔러
957319,쫄
946635,전용준 좀 그만해라 얼마나 해먹냐 일좀 줄여라
344626, 호령스트롱 ㄷㄷ
317001,정작 페이커도 초비도 묵묵히 잘 선수생활하는데 지들이 싸우네 ㅋㅋ 사회부적응자 한심한 넘들
792204,쵸비야 중국가지마 ㅠㅠ+1
678383,888848888 길게쓰면 벤안먹습니다 ^^
235700,이따구로 할거면 팀 이름 쓰레 기아로 바꿔라
294251,엄앵란ㅡㅡ
426137,티원팬들은 ...프사가 ....다 저러네
358837,항상 볼때마다 큐트큐트 엑스큐트가 다하네
892022,채팅창 왤캐빠르냐 갑자기
244752,인생 업적이 티원 팬인 애들은 병원좀 다녀야 됔ㅋㅋㅋㅋㅋㅋ
170878,콜미가 먼저 똥쌈 ㅋㅋ
628552,오리아니가 진짜 붕떠서 영향력이 없네
120308,구케 진짜 드릅게 못하네
616185,리그 우승하고도 매번 월즈 8강 ㅋㅋㅋ
879865,든든은 머리를 꾸며도 씻어도 얼굴 ㅈ박았네 
576765,엄 앵 란
833119,브리온은 신인을 둘이나 또갈앗네 정글이랑 서폿 ㅠㅠ
320379,나 티원팬인데 젠지가 우승함
48577,콜미 딜량 보면 지우가 얼마나 답답하겠냐
812514,kt지는게 말이 안됐어 베릴이 그렇게 했는데
514502,와 근데 젠지 빠는애들은 진짜 중국인임?
13675,어차피 스몰더 사리는데 트타나해 트타도 갈수록 강하잔아
193811,롤드컵 왜이리 노잼됐로
69153,티젠전 딮킅전 이후 진짜 재밌네 ㅅㅅ
39957,니들 이러는거 페이커도 부끄러워할듯
917981,역시 LPL 킬러
543522,브리온도 카리스 교체 좀 해라 광동 태윤 바꾸고 다른팀 됐다
44008,페이커도 잘하고 쵸비도 잘하고 티원도 잘하고 젠지도 잘하니까 제발 남의 경기에서 분탕치지 말고 방좀빼 분탕충들아 니네 진짜 티원팬 젠지팬도 아니잖아 ㅋㅋ
826058,T1 깔게 없음
690003,3용 또쳐주내 ㅋㅋㅋㅋㅋㅋ 킹겐이.이리잘해도 쇼메는 뭐하냐?
711110,"피넛이 진짜 잘할때는 심리전,수싸움 다 쳐바르는데 대체 왜 국제전만 가면 평범해지냐"
478532,LPL팀 이야기 그만해라 LCK 경기에서
760826,윌러는 지 cs 쳐먹은거밖에 없는경기였다 ㅋㅋㅋㅋㅋㅋㅋ
15286,ㅋㅋㅋㅋㅋㅋㅋ잘물었는데 뽀삐가 살려주고 개판이네 ㅋㅋㅋ
517715,방구석 광물들 왤케 말많노 ㅋㅋㅋㅋㅋ 말만 들으면 프로네
684949,라스칼 진짜 애쓰네
154576,진짜 빵댕이 흔드는건 베릴이 최고다
181600,역시 진정한 순위는 딮젠한티
642688,슼카이 ㅋㅋㅋ
236418,T1 화이팅
416615,국내에서만 잘하는 젠지 지고 있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
288696,좀져라 티원팬이 반이상이다 눈치없네
409972,채팅 보지말고 경기만 보시길
14335,모의고사 맨날 잘 치면 머하냐 수능때 쳐 말아먹는데
718316,근데 아칼리 원툴이어도 아칼리 원탑은 맞는듯
399893,우디르진짜 ㅋㅋㅋㅋㅋ 와 내가해도낫다
220575,제일 많이 우승한거랑은 상관없지 ㅋㅋ 지금 폼이 좋아서 티원이 우승가능하다는거지
60482,올해 티원은 무조건 한화 밑이다~~~~~
623391,꽉수빈 안나온거보니 짜피 또 대떡 당할듯 1557 ㅎㅇㅌ
253344,근데 국제전이 더 큰 대회 아닌가요 ....?
877418,저걸 해? 지리네 진짜
596980,이게머냐 티원이엇음 진작 조졌을게임
930738,중국겜이라 중국이 잘하네 ㄷㄷ
197501,와 이정도면 승부조작아니냐 진짜..?
706279,애들아 그만 싸우고 경기 보자
426625,내가 진성티원팬인데 그걸 모를까> 그떄 국내대화 계속 이기던게 티원아니냐? 그때 T1 대가리 박살난애들이 타팀 까고다녔잖아 국내우승하고
623950,존나 스트롱...
454702,근대 방마저 사라지고 요네아칼리사일 티어 엄청 내려감 안나오는 이유가 있음
425962,근데 젠지팬이면 조선족임 한족임?? 우투브 아직도 자국에서는 못보게하나... 그것만 아니면 뷰어쉽 개쩔텐데...
399581,"근데 데프트 페이커, f d키 반대로 썻으면 웃겼겠다."
810978,그들만의 pog대결 베릴vs케리아 가나요
199221,쵸비는 아직 젊어서 커리어는 쌓으면 됨. 근데 30살 다 되가도록 여전히 1황 현역인 페이커가 아직은 더 대단함. 벤치고 뭐고 황혼기?의 노장이니까.
210929,다시 시작해도 어차피 또 걸릴텐데 소용이 있냐? 
921187,1/3/5 ?
139238,채팅은 진짜 더럽네
280202,T1ㅎㅣㅌ
763144,스킬 이름이 짧아요는 씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
164768,카리스가 아지르만 안하면 되겟구먼
466370,절벽의 라스칼.. 밀면 떨어짐
897087,케리아 구원한테 계속 장난치네 ㅋㅋㅋㅋㅋㅋ
144085,lck도 디도스 공격함??
36043,니들이 쵸빌 아냐
57889,이따구로 할꺼면 그냥 처음부터 꼬라밖고 교전유도나 하지
335827,t1이 이기겠네 아까 1라랑 비슷한구도
248206,1557 3대0 커어어엇!!!!!!!!
937467,"태윤 있을때 전패 햇음 불이라서 6승이나 챙긴거임 그냥 선수의 한계다 그리고 씨맥은 잘못없음 마타, 꼬감으로 바껴도 하위권팀임 "
592435,혹시나 직관하신 팬중에 미리 저녁 예약하신분도 있다면? 이거 이거 수습 가능함?
697773,솔직히 DRX랑 엄대엄 보고 티원플옵기대안되면 개추 ㅋㅋㅋ
178915,럼자오자레 신나는노래 나도 한번 불러본다~
961516,베릴따라쟁이
9580,77757 나오겠네..
168757,어차피 녹화할거면 걍 롤파크에서 하지
488147,어허ㅋㅋㅋㅋㅋ
882167,어차피 우승은 젠지 월즈 8강딱도 젠지
751018,노틸이 이니시열게아니라 상대가 걸면 바루스 지키는쪽으로 해야하는데 노틸이 ㅈ같이못하네
108396,그만좀 젭첩 슥갈 좀 하자 ㅆ
561561,김희철이 박정석믿고 투자한팀이 브리온임?
627906,시끄러우면 나가 장앤가
965524,ㅈ노잼매치
769412,아 머야 오늘은 노잼매치당
863818,ㅋㅇㅌㅋㅇㅌㅋㅇㅌ??
334393,익룡 개역하네 ㄹㄴ
896858,2군 갈까봐 벌벌 떨고있는 오너면 개추 ㅋㅋ
94373,이러다가 또 대상혁 외치면서 이길듯
542038,세탭 진짜 저게 프로냐
599396,카쓰 퍼블~!
300590,오너자꾸가오잡는데 허세폼 안빼면 우승없음
702664,지우 오늘 집에 압류딱지 붙겠노
19222,젠지 특 : 삼성 계승한다면서 국제전 무관
639352,결승전 젠한 전 인거 같으면 개추 ㅋㅋㅋ
452033,진짜 대상혁은 팀이 힘들땐 해주는구나
740143,모건 클리어 이기고 역대급 신인 이러고 있네ㅋㅋ
804271,왜 말을 못해 
848091,하트누르지좀 마라 영상끊긴다
825969,그저 3315 
592326,중소기업도 아니고 라이엇같은 대기업이 디도스 하나 못잡는게 말이되나?
635814,젠도스 멈춰!!
618181,따이 후앙 비
187027,ㅁㄷㅊㅇ 터져서 쇼메팬들 울면서 보는중 
713142,오늘도 유출되었는데 킅이 젠 또 잡았다네요
947973,ㅋㅋㅋ 텔 처버리네 ㅋㅋ 짇ㅁ자 대딘라다
396506,적군와해 때문에 마오 안터짐
612311,실비오늘 이갈앗네 ㅋㅋㅋㅋㅋㅋ개잘한다
237252,어허
270800,말 좀 그만하고 경기좀 쳐해라
44784,콜미는 실력도 없고 쇼맨십도 없고
589555,도리토스 공격ㄷㄷ
436658,대충픽해라 농심아 어차피 질텐데
704335,:pinching_hand: 저희 젠지팬 일동은 중국영토의 무결성을 무조건 지지합니다 
553294,궁금한데 슼갈이 뭔지 알고 쓰는거냐?
318641,팀 방출 좀 해라 너무 노잼이네 진짜 
679493,23월즈 범인 검거 
296270,88848좀 그만해주새요 기분이 너무 안좋내요 재가 응원하는팀이란말아애요
5442,제우스 진짜 존나 아깝다 제우스 화이팅!!
45477,아리 쵸비랑 존나차이나네;;
316916,카리스 게임 대상혁처럼하네;
129050,아니 장난 똥 때리나? 월즈고 나발이고:hand-pink-waving:
518912,그렇게까지 쫓아 올 줄 몰랐
397431,근데 담원 이정도면 t1이랑 젠지도 이기겠는데? 탑이 문제였노...
213609,협박범한테 돈주고 경기 재개하라
938194,씨맥 밴픽 예술이네 이 판도
627807,슼룡들 신나셨네
806558,엄대엄이네 둘다드릅게 못한다
560673,:octopus-red-waving::octopus-red-waving:형들 나이 올해 33살인데 여태 못해봤는데 큰일난거죠?? 인생망한건가요??
270547,비싼카리스 =쵸비
841504,발싸삿다
158356,녹방맞음 관중없음 채널커뮤니티에 공지있다 핑프들아
845584,든버지 씹 ㅋㅋㅋ
632249,허수 왤케 떠노
843294,티젠전 가져와 듣보잡말고
441021,브론즈들은 좀 조용히 봐 줄래?:cat:
694030,어머 듀렉스한테 월즈 뺏긴 티투넹
406951,데프트 진짜 개몬하네;
17582,아니 888룰8 은뭔가했더니 룰이 룰러였구나;
936494,엄 앵 란
127387,승부조작 조사해봐라
310775,킬딸ㅋㅋ
795615,개사기챔 ㅋㅋㅋㅋㅋ
399351,딮도스 ㅋㅋㅋㅋㅋ
68824,헉 팔목보호대?
102735,모멘트 운빨로 결승올라간친구아님? 티원빨로
622058,티원 짐싸서 집 갈 준비하자
171214,콜미보다 못하는 미드 꽤 있었다
544150,세텝은 3세트 전부 개못하네 진짜
587431,저희가 돈을 ㅈㄴ 잘버는데 디도스를 못 막아서 경기를 못해요 ㅋㅋ
790994,하...이번 msi도 ㅈ망했네
229009,88858:popcorn-yellow-striped-smile:
337951,그러게 왜 아지르로 칼날비를 쳐가냐? 3타 때리고 딜 안하려고 룬을 저따구로 어휴 제카 때문에 한화는 안된다. 딜욕심 겁나 높아서 지가 딜하고 킬하고 해야하는 저 성격때문에 한화는 안됨 그거 버리면 티원 이기고 올라는가겠지만 그래도 젠지한테 또 쳐발림
385001,진심 승부조작 냄새남
564490,ㅇㅅㅇ 하지마
660513,88848 888룰8 럼자오자레 환각 라이즈:face-blue-smiling::face-green-smiling::face-green-smiling:
81005,캘린 나보다못하는듯
283744,얘넨 맨날 결승전만가면 젠지한테 쳐발리더라
318977,개축빠들 ㄲㅈ
783054,이 모든게 탑차이라고? 믿을수 없어
360909,중요한건 꺾일때까지 꺾어버리는마음
82669,806진짜 뭐냨ㅋㅋㅋㅋ 참나
374047,젠지팬들 왤케 화낫음
684346,스몰게임이라 졸린가
416122,팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1.젠지만 만나면 발리는팀이 우승팀??? 2.카나비가 애국행동으로 던져줌 3.현 BLG랑 붙으면 1557임
774974,저게 cs 때린 딜이겠냐 겁나 프레임 씌우네ㅋㅋ
191013,젠지팬 일동은 일본 소유 다케시마 영토의 무결성을 지지합니다
787551,롤드컵이랑 인연이없는선수도있죠
370061,오늘 특별전이라 5판3선한다고 유출됨
803700,불 결국 증명못했네 ㅋㅋㅋㅋ
659080,진짜 땀내난다
343142,젠지가 티원 우승 횟수 넘을 때까지 티젠이다
793742,ㅇㅅㅇ ㅇㅅ ㅇ ㅇ ㅅㅇ
719984,유출 녹방임 한화 진땀승 롤 커뮤에 2대1 젠지패임
720432,따이 후왕 란
521048,솔직히 켈린이 좀만 더 잘해줬어도 이겼음
996008,진짜 롤코 그 자체
987162,데프트진짜 개똥이다
885614,88848 대황젠 ㅋㅋㅋ
786035,젠지 별두개는왜달려있는거냐ㅋㅋㅋ
898657,전문용어 땜빵ㅋㅋㅋㅋ
298797,전프로들 진지해지니깐 멋있네
96866,서폿이 점멸로 제우스를 쳐물어서 한타를 여니까 졌지 ㅋㅋㅋ fox 서폿 노답 ㅋㅋㅋㅋㅋㅋ:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:
980087,경기 그냥보지 말고 폰겜 정육점을 털어라 하면서 보세요 개꿀잼임
290769,상대 존중도 안하는 그팬들 다 나갔네ㅋㅋㅋㅋ
303717,롤드컵때 경험치 먹었다해서 재밌을줄 알았는데.. 급이 다르넹 ㅎ
375438,역시 비난은 젠평 ㅋㅋ
675056,중국팀 한테는 t1말고 답이 없다
554987,역시 구매력없는 젠평이라 프리미엄 못산다네요 ㅋㅋ
248376,아 진짜 숨막힌다
738307,T1 화이팅
399370,/브실골플다딱이들 채팅 제한
239374,캡틴잭 너무나댄닼ㅋㅋ
607209,어그로들 싹다 신고중
186809,따봉
393924,젠지 = 내수 원툴 해외나가면 ㄹㅇ 별볼일 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
560225,ㅈ밥들 만나네ㅐ
104847,아니 무슨 도대체 배달이 2시간만에오냐 개짜증나네
225979,젠지는 중국을 지지합니다. 모든 젠지 팬들은 하나의 중국을 응원합니다. 열등한 한국팬들 말듣지말고 우승해주세요 찌엔지
237279,쓰레기들 진짜 많네
816733,데프트는 진짜 뒤지게못한다
585151,그비는 무관 쇼메는 유관 ㅋㅋㅋ:rolling_on_the_floor_laughing::face_with_tears_of_joy:
188423,디도스 사과도 없이 그냥 어물쩡 넘어가나보네
556628,나 제칸데 페이커 겁나 쎄다
915812,폰겜 정육점을 털어라 하면서 경기보세요 게꿀잼임
264437,페이커 진짜 아무것도 못하네
163762,경기데이터 이미 나옴 ㅋㅋ 롤갤 가면 바로 있던데
716370,님들아 젠지 KT도 유출떴으니깐 롤갤가봐라~ 
228664,벤픽을 단단하게가니 뚫질못하네
697692,젠첨들아 다 나가라 
768656,"안녕하세요 젠지팬입니다. 궁금한게 있어서 그런데, 젠지 팀 마크 위에 별 두개는 어디서 주워온건가요? 들어보니까... 88848? 이라던데 별 어디서 난거죠? 돈주고 산건가요? 진짜 모름"
769109,젠지가 결승올라가고 한화가 밑으로 내려가고 티원이 이겨서 올라가고 담원이 탈락하고
728449,8강도 잘한겁니다 그만하세요
126419,롤드컵후 제우스만 성장 ㅋㅋㅋㅋㅋㅋㅋㅋ따 너프 ㅋㅋㅋㅋㅋㅋㅋ
922801,쵸비 발작 트리스타나 뭐임??
607029,광동 경기할때도 퍼즈 안걸린단 보장없지않나 ? 미루는게 날듯 
508853,황이ㅌ 역시 그팬 아니랄까봐 중국 응원하는거 복소
768626,한국 팀 한화 화이팅!! 중국팀 무찌르자 화이팅!!
641106,설마 대떡...?
889407,오너 사건 언급하시면 T1 법무팀에서 고소합니다 조심하세요 
941026,제카 거리 좁혀서 오리 공 치우는 디테일 ㄷㄷ;
788697,치혈? 맞춤법 실화냐..
111971,벤치혁 집탐 개못잡는다
163008,녹방 어제처럼 또 그럴까봐 그랬다구 하지 않았나?
270268,디도스로 핸디캡 주고 시작해도 중국팀은 쳐바르네 ㅋㅋ
283803,슥갈 따운
547438,t1전은 시청자 수가 기본 3배네
811402,쇼메도 개못하네 걍
252269,오너가 꾸역꾸역 끌어오고 페이커가 역전각 잡아줬는데 아쉽
208747,ㅈ방인들이 당연히 캠빨이지 뭘 또 새삼
936635,엄 앵 란
470664,이악물고 미드차이아니랜다 ㅋㅋㅋ쵸비 욕하는건 페이커 욕먹이는거지ㅋㅋ
403269,그 때 그 DRX 보이는 것 같으면 개추 ㅋㅋ
880485,물론 상대가 프로라서 그런 것도 있겠지만 광물솔랭이렐같아
171177,아니 콜미는 플레 ~애매 가도 못이길거같은데 어케 프로된거임???
221726,젠티전 이미 젠지가 개발랏는데 ㅋㅋ
185809,쵸맘들 부글부글 ㅋㅋㅋㅋㅋ
168362,킬딸할려고 이즈 가 죽고 스노우볼굴리고 이거임!!!!!!!!!
211734,10년동안 서버 따로 증설안한 결과지 뭐
580378,DRX 또 콜 갈리고 밥상 뒤엎을거같은데
560058,88848 치면 고소당하나요??
380703,케리아 약팀상대로 이즈칼리 서폿쳐하더니 젠지상대로는 못꺼내고 혜지챔 존재감없는거보니까 꼴좋네 ㅋㅋ
131655,1577은 능지문제임? 15분 77초 잼 ㅋㅋ
880206,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:
111656,트페 실수로 ad템 갔네 ㅋㅋ 개트롤
378371,롤드컵4강보다 빡시다면서 은근올려치기할라하네 젠첩ㅌㅋㅋㅋㅋㅋㅋㅋ
506267,딮은 초반교전을 잘하고 젠은 후반 교전을 잘하네
358985,딸깍 왤케쎄냐 ㅋㅋ
320734,티원 오늘 영혼까지 탈탈 털린다고 하네요 ㅎㅎ
199930,우정잉 롤도 잘안하는데 뜬금포라 웃기네
773516,의문의 한화팬들 왤케 화났냐 ㅋㅋㅋ
522779,와 진짜 선수들은 갱한번만 잘못하면 완전 역전당하네
541624,선수 욕하는 애들은 당연히 그마챌이겠죠??
654559,짱파게티 컷
190437,또 가렌 쳐 해봐라
337734,바이퍼는 개무겁네진짜
504879,젠지 1셋트 어케땃누
528821,정글3벤아님 렉사이 아까 탑이였음
586,제가 예언합니다 1557이 집니다
260672,반갑다모
887834,데뷔 이후로 국제전 1번도 못 먹었는데 고평가 받는 미드라이너가 있음?
285454,진짜 쫄린다
599104,짜오인생망했네
871395,쟤들 잘못은 아니야 절벽 앞으로 밀어버린 우범최 잘못임 ㅇㅇ
29312,어허 ㅋㅋ
703126,진짜 레드에서 피터 스킬샷부터 굴러간 스노우 볼임 ㅇㅇ
596557,아니 귀찮은데 그냥 DRX가 서렌치고 나가면 안됨? 어차피 DRX가 질거잖아....
13710,쵸비 오리아나 할줄모르네 역시 낄낄 챔프폭 좁은거 티나쥬?
449314,녹턴이 갈대가 읍네....
841774,카리스가 좀 심해
65253,롤러코스터 어지럽네ㅋㅋㅋㅋㅋ
687727,룰루궁을 아펠말고 바이한테주는게맞냐 ㅋㅋㅋㅋㅋㅋㅋ
651974,캬 젠지 따잇~~~~~
216479, 디도스 범인 잡아서 1000억 배상 받자
988253,"탑태윤 VS 정글태윤 에서 정글 태윤이 좀 더 괜찮은게 탑태윤은 밴픽도 못빼주는데, 정글 태윤은 밴을 상당히 빼줌."
815418,못하는 애들끼리 치열한척 오지네 ㅋ
779421,Aiming is good at lucian :rolling_on_the_floor_laughing:
840953,김송희 법무관 사칭하는 빙구님 캡쳐땃습니다 
570142,스몰더 팔긴애좀 있으면 대처할만한듯 ㅋㅋ
404518,뒤로 돌아가는거 보려고 저기다 박는거야 브론즈들아
784131,아니 젠지는 국제전 나가면 안된다니까 그미드땜에...
609113,한화 경기여도 시청자수 왤케 적냐 주말인데
369646,ㅇㅅㅇ하지마세요.. 마지막 경고입니다..
879754,중국팀한테 또 지네 티;원?
626834,이판은 져도 구마 탓이 아님 서폿이 서폿챔을 해줘야 뭘하지..
467802,티원팬은 테디 절대 응원해 ..ㅜㅜ
163897,아니 미스포츈 진짜네?
32141,"지우가 잘하는것도 맞아 애들아,,, 싸물과 바라"
522754,제리 보호막잇는데 잘도 잡겟다 플 ㅇㅈㄹ ㅋㅋ 
754070,고인챔들이나 좀 신경써줘라. 아오. 스몰더 면상 죽빵마렵네 진짜
458642,억제기가 취약한 쪽이 옵젝싸움에서 불리할 수밖에 없음
237294,일반인품평은 젠평 ㅋㅋㅋ
77311,t1은 원래 여자팬이 많음? 혜지는 좀 역한데
358240,프로 맞나
211436,만약에 저거 집 가던 거 못 끊어서 아지르 못잡으면 크로노 걸어야하는 거 아님?
838638,커즈 레전드네 진짜 ㅋㅋㅋㅋㅋ
408582,광동은 썐애들만 다만나네 처음부터
762526,쳐맞아?
673111,23월즈 범인색출종결 멸망전 누가 범인일까?
617830,프로맞나
707685,오너 구마유시는 t1아니었으면 그냥 중위권 정도지..
135580,가갑 중첩있음?
199856,오너아니야 오너보다 말랐어 쟤는
673560,중 진핑이횽도 주목한다는 그경기 가즈아
256076,1557-0013이 머임?
584595,그냥 개같이 싸우고 빨리 끝내달라고 drx가 말한듯
907875,我是中国人。 GENG的比赛什么时候进行？
393837,나라팀이 그래도 팀 오래 했고 경기 성적도 있고 경력팀인데 저렇게 갑자기 경기해서 킬이 앞서는게 신기하네
787826,형말 들으라했제 걍 젠지 강승이라니까
241987,역시 중국
1000107,GG
65458,뭘 아님말고야 해야할거 해설해주고 있는데 애들이 해야할거 안해가지고 게임 질질끌리는건데
28295,젠지가 blg한테 처발리고 애석하게도 저희 t1이 월즈를 멋진 서사로 먹어버렸군요! 국제전 무관 젠지에겐 참으로 안타깝습니다 근데 그래서 888룰8인가요?
591503,1000억 받아 쳐먹고 디도스에 항복선언ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1005582,젠나찍 ㅋㅋㅋ
410374,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대상혁이 뭐라한줄알아??? 쵸비는 나의 뒤를 잇는 88848 신롤 이라고 언급했다 ㅋㅋㅋㅋ 고로 젠지가 이긴다 ㅋㅋㅋ 미래에서옴 ㅋ ㅋ
431246,승부조작은 강팀이 약팀에게하는것이다
109326,뭔 한화진영이야 중립석이고만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
259934,리헨즈는 제발 주제파악하고 혜지나해라
909660,분탕들은 팬이 아니야
214691,롤드컵 하는줄 알았네
496823,뭔 자꾸 지우타령이냐 ㅋ 조합 자체가 어제랑 틀린데
807523,금일은또뭐여 오늘 일요일인데 날짜감각좀 챙기자..ㅋㅋㅋㅋ
880730,나 이경기 몰래들어가서 의자 밑에 숨고 직관으로 봤음
843220,888룰8 vs 4성장군
752796,현직 법무부장관압니다. 1557로 고소 가능합니다
229226,오늘 젠지가 이겼는데 티원팬분들왜이렇게 화나신거에요?? 그만좀 해주세요!
587716,선수랑 직관러들 다 짜증날 듯
628643,아 쫑이형 머하냐고
578214,허버허버
502425,제첩들은 딮기경기에서 쇼메까지 뭐라하네 ㅋㅋㅋ 수준 ㄹㅇ ㅋㅋㅋ 다른팀 경기하는데 왜 까내리지 ㅋㅋ
986030,9697 듀오 피지컬 딸리는게 진짜 눈에 보이네
743448,1557만 채우노ㅋㅋㅋㅋ
368980,짜이엔지화이팅!
514230,전용준 까는게 전용준이라는 사람이 싫다는게 아니라 캐스터가 말을 더듬고 목관리도 못해서 쇳소리만 나는데 어느 프로가 몸관리를 그리 못함 캐스터로 자격없음
810055,퍼펙트는 처음 데뷔한 시즌인데도 잘하네
218273,피드백하고 짐쌀듯?
